cm-1,mol-abs
12624.70074609375,0.0001879
12655.55621875,0.0001929
12686.411691406249,0.00019569999999999999
12717.2671640625,0.0001985
12748.12263671875,0.0002037
12778.978109374999,0.00020659999999999998
12809.83358203125,0.0002093
12840.6890546875,0.00021229999999999998
12871.544527343749,0.0002151
12902.4,0.00021559999999999998
12933.3124375,0.0002162
12964.16791015625,0.00021899999999999998
12995.0233828125,0.0002196
13025.87885546875,0.00022009999999999998
13056.734328125,0.000223
13087.58980078125,0.00022349999999999998
13118.4452734375,0.0002241
13149.30074609375,0.00022449999999999998
13180.15621875,0.0002227
13211.01169140625,0.00022319999999999998
13241.8671640625,0.0002237
13272.72263671875,0.0002242
13303.578109375,0.00022229999999999998
13334.43358203125,0.0002229
13365.2890546875,0.0002209
13396.14452734375,0.0002215
13427.0,0.0002219
13457.8124375,0.00021999999999999998
13488.66791015625,0.00021799999999999999
13519.5233828125,0.0002159
13550.37885546875,0.0002115
13581.234328125,0.000202
13612.08980078125,0.000195
13642.9452734375,0.0001779
13673.80074609375,0.0001658
13704.65621875,0.00015099999999999998
13735.51169140625,0.00013879999999999999
13766.3671640625,0.00012639999999999998
13797.22263671875,0.0001191
13828.078109375,0.0001118
13858.93358203125,0.00010439999999999999
13889.7890546875,9.949999999999999e-05
13920.64452734375,9.2e-05
13951.5,8.709999999999999e-05
13982.3124375,7.96e-05
14013.16791015625,7.46e-05
14044.0233828125,7.219999999999999e-05
14074.87885546875,6.72e-05
14105.734328125,6.47e-05
14136.58980078125,6.23e-05
14167.4452734375,5.99e-05
14198.30074609375,5.73e-05
14229.15621875,5.48e-05
14260.01169140625,5.23e-05
14290.8671640625,4.98e-05
14321.72263671875,4.9999999999999996e-05
14352.578109375,4.74e-05
14383.43358203125,4.49e-05
14414.2890546875,4.4999999999999996e-05
14445.14452734375,4.24e-05
14476.0,4.26e-05
14506.912437500001,3.99e-05
14537.76791015625,4.01e-05
14568.6233828125,4.01e-05
14599.478855468751,4.02e-05
14630.334328125,3.76e-05
14661.18980078125,3.77e-05
14692.0452734375,3.78e-05
14722.90074609375,3.78e-05
14753.75621875,3.79e-05
14784.61169140625,3.7999999999999995e-05
14815.4671640625,3.81e-05
14846.32263671875,3.5499999999999996e-05
14877.178109375,3.5499999999999996e-05
14908.03358203125,3.56e-05
14938.8890546875,3.56e-05
14969.74452734375,3.5799999999999996e-05
15000.6,3.59e-05
