cm-1,n
1555.3061318359375,1.3434
1563.02,1.3464
1570.738109375,1.3496
1578.4519775390627,1.353
1586.1658457031251,1.3567
1593.8797138671875,1.3601
1601.59358203125,1.3629
1609.3074501953126,1.3638
1617.021318359375,1.3613
1624.7351865234375,1.3531
1632.4490546875002,1.3385
1640.1629228515626,1.3193
1647.876791015625,1.299
1655.5906591796875,1.2807
1663.3045273437501,1.2657
1671.0183955078126,1.2545
1678.732263671875,1.247
1686.4461318359376,1.2429
1694.16,1.242
1701.868109375,1.2435
1709.5819775390626,1.2466
1717.295845703125,1.2507
1725.0097138671874,1.2552
1732.7235820312499,1.2597
1740.4374501953125,1.2642
1748.151318359375,1.2683
1755.8651865234374,1.2722
1763.5790546875,1.2757
1771.2929228515625,1.279
1779.006791015625,1.282
1786.7206591796876,1.2848
1794.43452734375,1.2874
1802.1483955078124,1.2898
1809.8622636718749,1.292
1817.5761318359375,1.2941
1825.29,1.2961
1833.008109375,1.298
1840.7219775390627,1.2998
1848.435845703125,1.3014
1856.1497138671875,1.303
1863.86358203125,1.3046
1871.5774501953126,1.306
1879.291318359375,1.3075
1887.0051865234375,1.3088
1894.7190546875001,1.3101
1902.4329228515626,1.3114
1910.146791015625,1.3126
1917.8606591796874,1.3138
1925.57452734375,1.3149
1933.2883955078125,1.316
1941.002263671875,1.3171
1948.7161318359376,1.3181
1956.43,1.319
1964.1381093749999,1.32
1971.8519775390625,1.3208
1979.565845703125,1.3217
1987.2797138671874,1.3225
1994.9935820312498,1.3232
2002.7074501953125,1.3239
2010.421318359375,1.3245
2018.1351865234374,1.325
2025.8490546875,1.3255
2033.5629228515625,1.326
2041.276791015625,1.3264
2048.9906591796876,1.3267
2056.7045273437498,1.3271
2064.4183955078124,1.3273
2072.132263671875,1.3275
2079.8461318359373,1.3277
2087.56,1.3278
2095.278109375,1.3279
2102.991977539062,1.328
2110.705845703125,1.328
2118.4197138671875,1.3281
2126.1335820312497,1.3281
2133.8474501953124,1.3281
2141.561318359375,1.3282
2149.2751865234372,1.3282
2156.9890546875,1.3283
2164.702922851562,1.3284
2172.4167910156248,1.3285
2180.1306591796874,1.3286
2187.8445273437496,1.3288
2195.5583955078123,1.329
2203.272263671875,1.3292
2210.986131835937,1.3295
2218.7,1.3298
2226.408109375,1.3301
2234.1219775390623,1.3305
2241.835845703125,1.3308
2249.5497138671876,1.3313
2257.26358203125,1.3317
2264.9774501953125,1.3321
2272.691318359375,1.3326
