cm-1,k
2264.9774501953125,0.01099
2272.691318359375,0.01063
2280.4051865234374,0.01029
2288.1190546875,0.00994
2295.832922851562,0.00961
2303.546791015625,0.0093
2311.2606591796875,0.00897
2318.9745273437497,0.00868
2326.6883955078124,0.00842
2334.402263671875,0.00822
2342.1161318359373,0.00801
2349.83,0.00779
2357.548109375,0.007548
2365.261977539062,0.007353
2372.975845703125,0.00714
2380.6897138671875,0.006935
2388.4035820312497,0.006773
2396.1174501953124,0.006611
2403.8313183593746,0.006444
2411.545186523437,0.006264
2419.2590546875,0.006103
2426.972922851562,0.005922
2434.6867910156247,0.00577
2442.4006591796874,0.005642
2450.1145273437496,0.00549
2457.8283955078123,0.005347
2465.542263671875,0.005196
2473.256131835937,0.005063
2480.97,0.004924
2488.6881093750003,0.004804
2496.4019775390625,0.004706
2504.115845703125,0.004594
2511.829713867188,0.004463
2519.54358203125,0.00433
2527.2574501953127,0.004253
2534.971318359375,0.00416
2542.6851865234376,0.004066
2550.3990546875,0.00399
2558.1129228515624,0.003911
2565.826791015625,0.003821
2573.5406591796877,0.003745
2581.25452734375,0.003695
2588.9683955078126,0.003639
2596.6822636718753,0.003546
2604.3961318359375,0.003507
2612.11,0.003461
2619.818109375,0.0034
2627.531977539062,0.003394
2635.245845703125,0.003365
2642.9597138671875,0.003354
2650.6735820312497,0.003358
2658.3874501953123,0.003348
2666.101318359375,0.003376
2673.815186523437,0.003426
2681.5290546875,0.003486
2689.242922851562,0.003542
2696.9567910156247,0.003601
2704.6706591796874,0.003694
2712.3845273437496,0.003785
2720.0983955078123,0.00389
2727.812263671875,0.004016
2735.526131835937,0.004156
2743.24,0.004315
2750.9581093750003,0.00451
2758.6719775390625,0.0047
2766.385845703125,0.00493
2774.099713867188,0.00518
2781.81358203125,0.00546
2789.5274501953127,0.00577
2797.2413183593753,0.00606
2804.9551865234375,0.00636
2812.6690546875,0.00665
2820.3829228515624,0.00701
2828.096791015625,0.0075
2835.8106591796877,0.00795
2843.52452734375,0.00845
2851.2383955078126,0.00894
2858.9522636718752,0.00953
2866.6661318359374,0.0102
2874.38,0.01081
2882.0881093750004,0.01151
2889.8019775390626,0.0123
2897.5158457031253,0.01309
2905.229713867188,0.01395
