cm-1,alpha-n
1269.89452734375,0.7535745015618036
1277.6083955078125,0.7576809562614044
1285.322263671875,0.7608022411269285
1293.0361318359376,0.7634317822512408
1300.75,0.7668328982751
1308.458109375,0.7699664694057287
1316.1719775390627,0.7732699707984306
1323.8858457031251,0.7760207304573996
1331.5997138671876,0.7789407831240281
1339.31358203125,0.7813660842086096
1347.027450195313,0.7845192700301056
1354.741318359375,0.7874499521003617
1362.4551865234375,0.7906112183078285
1370.1690546875002,0.7940492695975311
1377.8829228515626,0.7977193834546853
1385.596791015625,0.8016671745502549
1393.3106591796875,0.8058485831140464
1401.0245273437502,0.809974129955895
1408.7383955078126,0.8148363174103075
1416.452263671875,0.8205428032380084
1424.1661318359377,0.8269280924676462
1431.88,0.8331551769164312
1439.598109375,0.8406304770763593
1447.3119775390626,0.8475495943287189
