cm-1,absorption
1293.0361318359376,588.5681768955676
1300.75,590.7348419036284
1308.458109375,592.646605146035
1316.1719775390627,594.6858192712687
1323.8858457031251,596.3426807480209
1331.5997138671876,598.1269931076005
1339.31358203125,599.5289528186985
1347.0274501953127,601.4407160611051
1354.741318359375,603.2250284206847
1362.4551865234375,605.1367916630911
1370.1690546875002,607.3034566711518
1377.8829228515626,609.5975725620398
1385.596791015625,612.1465902185819
1393.3106591796877,614.823058757951
1401.0245273437502,617.4995272973202
1408.7383955078126,620.6857993679978
1416.452263671875,624.509325852811
1424.1661318359377,628.8426558689325
1431.88,633.0485350022271
1439.598109375,638.1465703153111
1447.3119775390626,642.8622529799142
1455.025845703125,648.0877391758254
1462.7397138671874,653.1857744889095
1470.4535820312499,660.3230239272273
1478.1674501953125,668.7347821938162
